model,scheme,n,feature,beta,se,odds_ratio,ci_low,ci_high,p_value,log_p_value,p_holm
trim_1_99,HC0,77379,log_token_ratio,0.5670454883431707,0.013496460790597126,1.7630503959473511,1.7170246036865469,1.810309934974909,0.0,-886.5686069164907,0.0
trim_1_99,HC0,77379,header_density_diff,0.025839631957609282,0.009679467217113338,1.0261763693816761,1.0068918651700534,1.0458302202089111,0.007595739762365767,-4.880167746444444,0.0455744385741946
trim_1_99,HC0,77379,list_density_diff,-0.006448507545114248,0.008913019062746792,0.9935722394599715,0.9763660575688399,1.0110816403056906,0.4693770087512221,-0.7563489768431281,0.8628545677737811
trim_1_99,HC0,77379,bold_density_diff,0.04846880580553908,0.010834715169479689,1.049662627929484,1.0276073659012388,1.0721912561472642,7.69592786309666e-06,-11.77481921794305,6.926335076786994e-05
trim_1_99,prompt_first,77379,log_token_ratio,0.5670454883431707,0.01361078108107563,1.7630503959473511,1.7166391793842402,1.8107163904793775,0.0,-inf,0.0
trim_1_99,prompt_first,77379,header_density_diff,0.025839631957609282,0.009706145335048691,1.0261763693816761,1.0068389065993317,1.0458852296779697,0.0077650034221893125,-4.858128381661775,0.04659002053313588
trim_1_99,prompt_first,77379,list_density_diff,-0.006448507545114248,0.008937277239248108,0.9935722394599715,0.9763193591281282,1.01113000146497,0.4705861757641959,-0.7537761788870408,0.8660180105273525
trim_1_99,prompt_first,77379,bold_density_diff,0.04846880580553908,0.010838002512895415,1.049662627929484,1.0276003900497543,1.0721985347032459,7.756367089078908e-06,-11.766996492013462,6.980730380171018e-05
trim_1_99,prompt_sequence,77379,log_token_ratio,0.5670454883431707,0.013617066454495888,1.7630503959473511,1.7166180350389029,1.8107386938758738,0.0,-inf,0.0
trim_1_99,prompt_sequence,77379,header_density_diff,0.025839631957609282,0.009704249847242103,1.0261763693816761,1.0068426485529198,1.0458813426217417,0.007753009054766026,-4.859674245841183,0.04651805432859615
trim_1_99,prompt_sequence,77379,list_density_diff,-0.006448507545114248,0.008942507243413568,0.9935722394599715,0.9763093523809461,1.0111403651086945,0.4708457344300777,-0.7532247663639514,0.8661019154435554
trim_1_99,prompt_sequence,77379,bold_density_diff,0.04846880580553908,0.010833917976725492,1.049662627929484,1.0276086183011433,1.0721899494121874,7.695391898695914e-06,-11.774888862964952,6.925852708826322e-05
trim_1_99,model_pair,77379,log_token_ratio,0.5670454883431707,0.01454169330695925,1.7630503959473511,1.7134613695151066,1.8140745708960713,1.5896471668869797e-215,-494.59228290973107,2.5434354670191675e-214
trim_1_99,model_pair,77379,header_density_diff,0.025839631957609282,0.009937278651436196,1.0261763693816761,1.0063634203459788,1.0463793891826205,0.009429407447622556,-4.66392202125462,0.05657644468573533
trim_1_99,model_pair,77379,list_density_diff,-0.006448507545114248,0.009278861464889262,0.9935722394599715,0.9756483024611549,1.0118254626541592,0.487210183223428,-0.719059661278964,0.90894842694548
